round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,1081,605,0.0,14.52,normal,2,8.61
1,496,518,1.0,12.48,normal,2,8.34
1,496,1038,1.0,10.48,normal,2,47.58
1,496,40,0.0,13.32,normal,2,30.5
1,496,262,1.0,11.69,normal,2,21.98
1,496,759,1.0,12.38,normal,2,14.37
1,496,730,0.5,60.0,timelimit,2,38.55
1,496,168,1.0,11.23,normal,2,21.79
1,496,1042,1.0,18.72,abnormal,2,61.06
1,496,971,1.0,9.38,normal,2,52.16
1,496,876,1.0,9.62,normal,2,90.0
1,496,998,1.0,10.87,normal,2,79.41
1,496,1023,1.0,10.24,normal,2,101.43
1,496,340,1.0,12.13,normal,2,67.51
1,496,901,1.0,9.26,normal,2,81.78
1,496,953,1.0,10.77,normal,2,88.45
1,496,708,1.0,8.04,normal,2,109.89
1,496,112,1.0,7.32,normal,2,131.25
1,496,809,1.0,10.61,normal,2,135.82
1,496,341,1.0,10.8,normal,2,140.3
1,496,275,1.0,15.31,normal,2,144.71
1,496,1057,1.0,11.85,normal,2,133.77
1,496,357,1.0,10.45,normal,2,145.94
1,496,605,1.0,8.1,normal,2,126.82
1,518,1038,1.0,13.17,normal,2,30.53
1,518,40,0.0,7.5,normal,2,1.77
1,518,262,1.0,9.49,normal,2,6.64
1,518,759,0.0,10.4,normal,2,0.44
1,518,730,0.0,13.87,normal,2,0.47
1,518,168,0.0,9.5,normal,2,15.95
1,518,1042,1.0,11.85,normal,2,7.29
1,518,971,1.0,9.01,normal,2,0.18
1,518,876,1.0,7.28,normal,2,38.02
1,518,998,1.0,11.43,normal,2,28.81
1,518,1023,1.0,9.61,normal,2,51.49
1,518,340,0.0,13.94,normal,2,19.41
1,518,901,1.0,11.0,normal,2,18.45
1,518,953,0.0,6.36,normal,2,26.4
1,518,708,1.0,8.45,normal,2,32.77
1,518,112,1.0,11.93,normal,2,55.39
1,518,809,1.0,11.84,normal,2,61.49
1,518,341,0.5,9.87,normal,2,67.46
1,518,275,0.0,14.29,normal,2,65.31
